batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,time_max,time_min,time_median,time_mean,time_trim_mean
33,116,7,71,47,2,1,0,1,322.7095603942871,317.8400993347168,321.1767673492432,320.7386732101441,320.85463404655457
54,90,1,90,36,3,1,1,0,8.337259292602539,6.653785705566406,7.3462724685668945,7.402515411376952,7.379263639450072
15,181,3,15,49,4,1,0,0,7.261991500854492,6.183147430419923,7.025361061096191,6.759715080261231,6.769001483917236
1,263,3,21,16,3,1,0,0,1.3806819915771484,1.0995864868164062,1.1905431747436523,1.2364625930786133,1.2355446815490725
51,391,5,22,19,3,1,1,1,311.33818626403814,307.4626922607422,308.7960481643677,308.9328050613404,308.8158965110779
46,209,1,15,4,3,1,0,0,16.344070434570312,13.039827346801758,13.507843017578125,13.741469383239744,13.503849506378176
7,235,1,22,23,2,1,1,1,7.903575897216798,6.567239761352539,6.956696510314941,7.194805145263673,7.184654474258423
29,162,4,5,13,3,1,1,1,8.515834808349611,6.9141387939453125,7.61723518371582,7.720255851745605,7.7215731143951425
6,238,4,37,14,3,0,1,0,10.400533676147461,9.802579879760742,10.08737087249756,10.11199951171875,10.114610195159912
47,191,5,30,25,2,0,0,0,211.3907337188721,206.44307136535645,206.9833278656006,207.47923851013184,207.11982250213626
8,22,2,49,343,3,0,1,1,0.8368492126464844,0.6926059722900391,0.7647275924682617,0.7694482803344727,0.7706284523010254
44,24,7,181,351,1,1,1,1,1047.429084777832,1041.243314743042,1042.5294637680054,1043.3295488357544,1043.0778861045835
63,389,1,7,23,3,0,0,1,77.39615440368651,76.94530487060547,77.16715335845947,77.1632432937622,77.16137170791627
52,430,4,1,9,1,0,0,0,543.7378883361816,541.7847633361816,542.7770614624023,542.7529811859132,542.7508950233461
39,132,2,23,63,1,0,0,0,118.92986297607422,118.45541000366212,118.67642402648926,118.67754459381105,118.67377161979677
55,265,4,21,25,1,0,0,1,938.5144710540773,933.5203170776367,935.7907772064208,935.8418703079224,935.7979893684387
7,101,4,11,81,1,0,1,1,22.028207778930664,18.824338912963867,19.22094821929932,20.193910598754886,20.13581991195679
8,353,3,5,12,4,0,0,0,5.365133285522461,4.889726638793945,5.165338516235352,5.135560035705566,5.137592554092407
23,446,4,13,3,1,0,1,1,423.6946105957031,420.1414585113525,422.471284866333,422.1182107925415,422.16825485229487
4,335,5,21,17,1,1,1,1,150.7561206817627,144.10662651062012,145.12503147125244,146.75922393798828,146.5911865234375
40,357,7,26,10,3,1,0,1,287.3711585998535,282.17744827270513,284.62707996368414,284.71186161041265,284.69625115394587
60,149,4,51,64,4,0,0,0,72.82829284667969,69.52881813049315,70.42694091796875,70.74990272521974,70.64273953437804
62,400,7,17,16,4,0,1,0,227.6782989501953,225.0919342041016,226.1894941329956,226.19507312774655,226.1475622653961
47,109,2,15,63,1,0,0,0,83.45580101013185,82.55076408386229,82.85796642303467,82.88443088531494,82.85471796989441
29,209,7,7,44,3,1,0,0,55.76348304748535,51.66959762573242,51.84173583984375,52.57248878479004,52.28647589683533
13,37,4,177,111,4,1,0,1,7.978439331054687,7.372140884399414,7.500648498535156,7.578778266906737,7.55465030670166
11,284,2,28,27,4,0,0,1,7.294178009033202,5.567789077758789,6.735086441040039,6.494259834289551,6.51007890701294
25,186,6,13,1,2,1,0,1,60.86301803588867,56.40172958374024,59.52978134155274,59.00359153747559,59.09639596939087
22,178,3,49,55,1,1,0,1,387.4397277832031,332.1068286895752,371.70326709747314,365.98176956176763,367.5338923931122
33,487,1,16,14,3,0,1,0,44.39878463745117,43.6701774597168,43.77102851867676,43.88184547424317,43.84368658065796
16,105,4,64,64,3,0,1,0,19.98114585876465,18.984079360961914,19.15419101715088,19.33290958404541,19.295483827590946
31,139,5,65,17,1,0,0,1,503.79467010498047,498.16393852233887,501.2211799621582,500.8492708206177,500.8167624473572
30,375,1,11,18,1,0,1,0,129.00304794311523,127.57015228271484,127.94661521911621,128.0395746231079,127.97781825065613
54,72,4,133,125,1,0,0,0,1000.1907348632812,996.6742992401123,998.523473739624,998.5472440719604,998.5759258270264
19,474,7,8,9,3,1,0,1,86.05527877807617,83.00495147705078,83.64927768707275,84.13078784942627,84.03095602989197
64,195,3,41,36,2,1,0,0,241.20569229125977,238.78812789916992,239.72606658935547,239.8046970367432,239.75664377212524
59,7,7,557,922,4,0,1,0,32.96351432800293,32.300710678100586,32.476186752319336,32.5453519821167,32.52366185188293
