batchsize,dim_input,dim_output,activation_fct,time_max,time_min,time_median,time_mean,time_trim_mean
35,1420,2379,1,4.9386024475097665,4.423856735229492,4.737496376037598,4.68745231628418,4.6890079975128165
1,3125,2632,1,2.508401870727539,2.4268627166748047,2.4666786193847656,2.467584609985352,2.4675726890563965
38,3011,844,1,3.2441616058349614,2.966880798339844,3.1342506408691406,3.1372785568237305,3.1452178955078125
14,3904,260,0,0.9596347808837892,0.6568431854248047,0.7930994033813477,0.788569450378418,0.7836520671844482
7,3566,2015,0,3.685712814331055,3.4973621368408203,3.6160945892333984,3.609752655029297,3.6143064498901367
31,2488,4049,1,7.838249206542969,7.489204406738281,7.621884346008301,7.628774642944336,7.620036602020264
12,2447,492,1,0.921010971069336,0.6837844848632812,0.7652044296264648,0.763702392578125,0.7540285587310791
49,3410,3347,0,11.668920516967773,10.967493057250977,11.306047439575195,11.31594181060791,11.315375566482544
56,126,1954,0,0.7245540618896484,0.5192756652832031,0.6413459777832031,0.6319522857666016,0.6344616413116455
62,4065,3775,1,17.34161376953125,16.762971878051758,17.032861709594727,17.042994499206547,17.040669918060306
53,2582,173,0,1.3074874877929688,0.7336139678955078,0.8050203323364258,0.8456945419311523,0.8019804954528809
6,3430,3900,1,7.367372512817383,5.8863162994384775,6.01351261138916,6.1463356018066415,6.0262084007263175
20,958,688,1,0.6880760192871094,0.5114078521728516,0.559687614440918,0.5793333053588867,0.5742311477661133
11,4073,320,0,0.9641647338867188,0.7336139678955078,0.8134841918945312,0.8209943771362305,0.8140206336975098
26,1851,3255,1,4.583597183227539,4.3282508850097665,4.383563995361328,4.413461685180664,4.402846097946167
8,1003,3400,1,1.8587112426757808,1.6851425170898438,1.7774105072021484,1.7810106277465818,1.7832815647125244
38,3976,2481,1,13.997316360473633,13.107776641845705,13.602495193481445,13.566255569458008,13.569682836532593
6,1191,72,1,0.3292560577392578,0.1373291015625,0.17464160919189453,0.1999378204345703,0.1915991306304932
54,2491,1009,0,3.9165019989013667,3.639459609985352,3.720402717590332,3.736114501953125,3.7256479263305664
59,4030,3488,0,15.07568359375,14.02735710144043,14.701485633850098,14.662361145019533,14.69007134437561
15,2846,1279,1,2.107858657836914,1.9688606262207031,2.0252466201782227,2.0270586013793945,2.024233341217041
61,244,2581,0,1.6713142395019531,1.333475112915039,1.4464855194091797,1.4481306076049805,1.4345645904541016
25,456,3849,1,1.863718032836914,1.544952392578125,1.7535686492919922,1.7263174057006836,1.7318129539489746
61,3550,909,0,4.846811294555664,4.477262496948242,4.729032516479492,4.696202278137207,4.7047436237335205
53,3142,1621,0,8.194446563720701,7.258892059326173,7.8999996185302725,7.815837860107423,7.838129997253418
9,3387,3366,1,5.0711631774902335,4.946708679199219,5.0220489501953125,5.0179481506347665,5.020201206207275
41,2254,3270,0,6.693601608276367,6.226301193237305,6.444573402404785,6.4475059509277335,6.444394588470459
42,1155,405,0,0.9360313415527344,0.6723403930664062,0.7810592651367188,0.7898807525634766,0.7863044738769531
15,2924,3992,1,5.747079849243164,5.49769401550293,5.666613578796388,5.636763572692871,5.640357732772827
22,3308,4042,1,7.8682899475097665,7.30133056640625,7.462620735168457,7.495045661926269,7.472604513168335
17,2001,4036,1,4.341840744018556,4.124879837036134,4.273295402526856,4.256582260131837,4.262387752532959
34,998,378,1,0.7884502410888672,0.5383491516113281,0.5953311920166016,0.6208181381225586,0.6101727485656738
45,1551,498,0,1.3692378997802734,1.0824203491210938,1.2077093124389648,1.2258291244506836,1.2258291244506836
16,3093,3555,1,5.70225715637207,5.440711975097656,5.545854568481445,5.564069747924805,5.56221604347229
33,2225,3606,0,6.4144134521484375,6.060361862182617,6.227612495422362,6.237387657165527,6.237387657165527
47,2519,739,0,2.5801658630371094,2.2313594818115234,2.3947954177856445,2.402353286743164,2.401500940322876
52,2235,792,0,2.8107166290283203,2.4368762969970703,2.611994743347168,2.6186227798461914,2.617329359054565
39,3299,2341,1,10.900735855102539,10.325193405151367,10.713577270507812,10.69185733795166,10.711580514907835
32,3051,914,0,3.0508041381835938,2.602100372314453,2.8263330459594727,2.8125762939453125,2.8091073036193848
32,3562,87,0,0.6453990936279297,0.40340423583984375,0.5474090576171875,0.5285024642944336,0.5295276641845703
4,300,4025,1,0.9431838989257812,0.6451606750488281,0.8327960968017578,0.8095026016235352,0.8133351802825928
40,2951,3272,1,8.23521614074707,7.954597473144531,8.04448127746582,8.072161674499513,8.066475391387941
15,3517,569,1,1.3608932495117188,1.201152801513672,1.2818574905395508,1.275920867919922,1.2746453285217283
45,688,1630,1,2.0313262939453125,1.6584396362304688,1.8643140792846682,1.8405437469482424,1.83945894241333
29,258,976,1,0.5645751953125,0.3650188446044922,0.43904781341552734,0.4441738128662109,0.4390180110931397
61,3291,3423,0,13.236045837402346,12.395381927490234,12.718439102172852,12.749814987182615,12.7333402633667
7,484,2963,1,1.2073516845703125,0.8294582366943359,0.967860221862793,0.9871244430541992,0.979304313659668
2,3282,2741,1,3.95965576171875,3.7434101104736333,3.8657188415527344,3.861212730407715,3.863632678985596
35,872,379,1,0.7109642028808594,0.4570484161376953,0.6023645401000977,0.5872726440429688,0.5880892276763916
19,1009,958,1,0.9217262268066406,0.7619857788085938,0.8126497268676758,0.8124828338623047,0.8051395416259766
62,2155,377,0,1.6448497772216797,1.3070106506347656,1.4389753341674805,1.4301776885986328,1.4187395572662354
21,1091,4030,0,2.8464794158935547,2.641916275024414,2.7222633361816406,2.733898162841797,2.7313232421875
17,2744,3477,1,5.049467086791992,4.868030548095703,4.963874816894531,4.9651145935058585,4.966706037521362
39,860,203,0,0.4353523254394531,0.3123283386230469,0.3528594970703125,0.3538370132446289,0.34883618354797363
13,2269,4059,1,4.886627197265625,4.64177131652832,4.773974418640137,4.764986038208008,4.765182733535767
15,2239,1573,0,2.0892620086669917,1.894235610961914,1.9856691360473635,1.9882917404174805,1.9874274730682373
14,2349,1132,1,1.670122146606445,1.508951187133789,1.5658140182495115,1.5841960906982422,1.5828609466552734
1,2502,2382,0,2.0143985748291016,1.9419193267822263,1.9664764404296875,1.970553398132324,1.9686520099639893
11,3823,1704,1,3.0052661895751958,2.8433799743652344,2.9287338256835938,2.9312610626220703,2.9329955577850337
49,1904,1370,1,4.305124282836913,3.899574279785156,4.151701927185059,4.113817214965819,4.1166841983795175
7,2191,2157,1,2.511739730834961,2.290487289428711,2.468585968017578,2.453136444091797,2.466142177581787
34,2711,2025,0,7.7919960021972665,7.0264339447021475,7.366776466369629,7.419252395629883,7.421761751174928
10,2698,2963,1,3.817081451416016,3.614425659179688,3.691196441650391,3.7083148956298833,3.70645523071289
64,2512,2508,1,11.124372482299805,10.423898696899414,10.772109031677246,10.788273811340332,10.791808366775513
31,1602,1962,1,4.417657852172852,3.97038459777832,4.119277000427246,4.158282279968262,4.1493475437164316
64,25,2501,1,0.4811286926269531,0.29349327087402344,0.3573894500732422,0.3787517547607422,0.3766119480133057
36,3589,724,1,3.1566619873046875,2.421855926513672,2.9189586639404297,2.8316020965576167,2.8421878814697266
8,1881,2095,1,2.065658569335937,1.9178390502929688,1.9980669021606443,2.0011425018310547,2.003490924835205
40,3082,292,0,1.2710094451904297,1.0581016540527344,1.2035369873046875,1.1935949325561523,1.200854778289795
51,1992,762,1,2.487659454345703,1.9757747650146484,2.1808147430419917,2.205443382263184,2.1988749504089355
